 2017-09-13 08:56:30,067 [P16600/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on DESKTOP-B3KBTPL
 2017-09-13 08:56:30,182 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-09-13 08:56:30,218 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 35ms)
 2017-09-13 08:56:30,318 [P16600/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-09-13 08:56:30,334 [P16600/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-09-13 08:56:30,338 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-09-13 08:56:31,719 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1380ms)
 2017-09-13 08:56:31,740 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-09-13 08:56:31,751 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 10ms)
 2017-09-13 08:56:31,752 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-09-13 08:56:31,760 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 7ms)
 2017-09-13 08:56:31,777 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-09-13 08:56:31,782 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 4ms)
 2017-09-13 08:56:31,782 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-09-13 08:56:31,799 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 16ms)
 2017-09-13 08:56:31,977 [P16600/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
